# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,3.3828525776709673,0.7993417696237097,-6.747964902914568,0,1.0,0.12338537447781266,-90.0,0.0,0.0
 0.15221706769381274,3.3943573418279205,0.7979805054148011,-6.747964902914568,0.15221706769381277,1.0000000000000002,0.12338537447781266,-90.0,1.2995004620876391,0.0
 0.21520405065844395,3.40585048717261,0.7966372619064762,-6.666113289446523,0.21520405065844395,0.9999999999999996,0.12311777582099195,-90.0,1.6893972854863846,0.0
 0.26349193101900836,3.4173318574635285,0.7953119622468436,-6.584535875443494,0.26349193101900836,1.0,0.12285355373917511,-90.0,1.9990625860511704,0.0
 0.30416349629795747,3.428801296459166,0.7940045295840116,-6.503230870978209,0.30416349629795747,1.0,0.12259270925133084,-90.0,2.263561607181144,0.0
 0.33996299945153124,3.4402586479180144,0.7927148870660883,-6.4221964900836195,0.33996299945153124,1.0,0.12233524391888785,-90.0,2.4977563215392418,0.0
 0.3722982351593598,3.451703755598565,0.7914429578411826,-6.341430950685929,0.3722982351593598,1.0,0.12208115918899909,-90.0,2.7097046165227923,0.0
 0.40200570794325363,3.463136463259308,0.7901886650574024,-6.260932474538187,0.40200570794325363,1.0,0.12183045698987731,-90.0,2.904382584660675,-5.144225261421783e-13
 0.4296305765931042,3.4745566146587357,0.7889519318628562,-6.180699287128022,0.4296305765931042,1.0,0.12158313966796795,-90.00000000000001,3.0851283333054065,5.482367351077513e-13
 0.45555159538876916,3.485964053555339,0.7877326814056524,-6.100729617613374,0.45555159538876916,1.0,0.12133920969506927,-90.0,3.2543146654314064,0.0
 0.4800445922468641,3.4973586237076084,0.7865308368338995,-6.0210216987377105,0.4800445922468641,1.0,0.121098669899336,-90.0,3.4137023754156646,0.0
 0.5033178373201111,3.508740168874037,0.7853463212957056,-5.941573766747536,0.5033178373201111,1.0,0.12086152339733068,-90.0,3.5646423897355013,0.0
 0.5255331668751448,3.520108532813114,0.7841790579391793,-5.862384061313719,0.5255331668751448,1.0,0.12062777367794104,-90.0,3.7081991545978044,0.0
 0.5468193040481811,3.531463559283331,0.7830289699124289,-5.783450825444013,0.5468193040481811,1.0,0.12039742453379315,-90.0,3.8452298787461427,-6.945225090797881e-13
 0.5672806347169751,3.54280509204318,0.7818959803635626,-5.704772305397461,0.5672806347169751,1.0,0.12017048006833936,-90.00000000000001,3.9764375602475246,7.20537796582732e-13
 0.5870032013645532,3.554132974851152,0.780780012440689,-5.626346750595547,0.5870032013645532,1.0,0.11994694478163413,-90.0,4.102407695688267,0.0
 0.6060589225063269,3.5654470514657377,0.7796809892919163,-5.548172413536645,0.6060589225063269,1.0,0.11972682350093516,-90.0,4.223634430559536,0.0
 0.6245086404252304,3.576747165645428,0.778598834065353,-5.470247549700253,0.6245086404252304,1.0,0.11951012122914012,-90.0,4.340539646944655,0.0
 0.6424043719617103,3.588033161148716,0.7775334699091073,-5.392570417455084,0.6424043719617103,1.0,0.11929684370792921,-90.0,4.453487193567826,8.173437702273487e-13
 0.6597910031845178,3.5993048817340902,0.7764848199712878,-5.315139277965025,0.6597910031845178,1.0,0.11908699663249939,-89.99999999999999,4.562793691538381,-8.40054628866786e-13
 0.6767075872099783,3.610562171160044,0.7754528074000029,-5.237952395091274,0.6767075872099783,1.0,0.11888058637651712,-90.0,4.668736873560825,0.0
 0.6931883531808237,3.621804873185068,0.7744373553433604,-5.161008035298662,0.6931883531808237,1.0,0.11867761952121722,-90.0,4.7715621147869625,0.0
 0.7092635013004216,3.633032831567653,0.7734383869494694,-5.0843044675416,0.7092635013004217,1.0000000000000069,0.11847810326874754,-90.0,4.871487609799224,0.0
 0.7249598368932467,3.6442458900662906,0.7724558253664379,-5.007839963181901,0.7249598368932468,1.0,0.11828204471616748,-90.0,4.968708530607088,-9.263048534689824e-13
 0.7403012816260286,3.655443892439471,0.7714895937423744,-4.9316127958662905,0.7403012816260287,1.0,0.11808945209362592,-90.00000000000001,5.0634003944718815,9.46884794055868e-13
 0.7553092897854283,3.6666266824456875,0.770539615225387,-4.8556212414317494,0.7553092897854283,0.9999999999999926,0.11790033337721498,-90.0,5.155721823535506,9.671261000701857e-13
 0.7700031903162595,3.6777941038434294,0.7696058129635843,-4.779863577792082,0.7700031903162595,1.0,0.11771469720170143,-89.99999999999999,5.24581682257632,0.0
 0.7844004701907018,3.6889460003911885,0.7686881101050748,-4.704338084827394,0.7844004701907018,1.0,0.11753255279303179,-89.99999999999999,5.333816674912861,-2.0133621893745717e-12
 0.7985170109603648,3.700082215847457,0.7677864297979664,-4.629043044278078,0.7985170109603648,1.0,0.11735390972828182,-90.00000000000001,5.419841533763249,1.0260339971170186e-12
 0.812367287613119,3.711202593970724,0.766900695190368,-4.553976739621369,0.812367287613119,1.0,0.1171787778574963,-90.0,5.504001763715914,0.0
 0.8259645368275322,3.722306978519482,0.7660308294303876,-4.479137455963555,0.8259645368275322,1.0,0.11700716782482742,-90.0,5.586399082654852,0.0
 0.8393209001922668,3.733395213252223,0.7651767556661337,-4.404523479915197,0.8393209001922668,1.0,0.11683909022391148,-90.0,5.667127535937575,0.0
 0.8524475467988996,3.7444671419274362,0.7643383970457147,-4.330133099476226,0.8524475467988996,1.0,0.11667455663768123,-90.0,5.746274335253273,0.0
