# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,7.733555638051447,6.497506670227016,-121.7307029826843,0,4.0,-130.21409517410868,-90.0,0.0,0.0
 0.019145978255687656,7.733170061160717,6.496883115679821,-121.7307029826843,0.07658391302275061,3.999999999999999,-130.21409517410868,-90.0,-631.1745250760052,0.0
 0.029297648838364446,7.732562649115015,6.496109516552019,-128.1381788414334,0.11719059535345777,4.0,-58.96937591141327,-90.0,-410.6239910067843,0.0
 0.03844385763029065,7.7317351997481705,6.49518710940249,-131.89383159815546,0.15377543052116258,3.9999999999999987,-31.24322987760425,-90.0,-280.25021694691446,0.0
 0.04718030194296575,7.730689510894017,6.494117130790116,-134.3422220121273,0.18872120777186296,4.0,-18.445074705331308,-90.0,-201.53458334721165,0.0
 0.05569912829959928,7.729427380386385,6.492900817273771,-136.05906013251868,0.2227965131983971,4.0,-11.772077248737212,-90.0,-151.30071898572493,0.0
 0.06408331937788014,7.727950606059107,6.491539405412339,-137.32759427077627,0.2563332775115206,4.0000000000000036,-7.9654998836882696,-90.0,-117.55800838417879,0.0
 0.07237483129043433,7.726260985746012,6.490034131764696,-138.30232789770983,0.2894993251617373,4.0,-5.639781261478222,-90.0,-93.89690344481512,-1.728323661535026e-12
 0.08059716546977462,7.724360317280935,6.488386232889723,-139.07437961623836,0.3223886618790985,4.0,-4.1400285273993,-90.00000000000001,-76.70433548226147,1.7399657424000577e-12
 0.08876448415249763,7.722250398497707,6.486596945346299,-139.70084836846848,0.3550579366099905,4.0,-3.1299163972716335,-90.0,-63.836883543587774,0.0
 0.0968858056269015,7.719933027230158,6.484667505693301,-140.21928822165006,0.3875432225076059,3.9999999999999933,-2.4248174517469487,-90.0,-53.96432197862845,0.0
 0.10496712623991994,7.7174100013121185,6.482599150489613,-140.6553912092235,0.4198685049596797,4.0,-1.9176875063628165,-90.0,-46.228249694575354,0.0
 0.11301257405269587,7.714683118577423,6.4803931162941115,-141.0273181796172,0.4520502962107834,4.0,-1.5435697413153038,-90.0,-40.05575614444466,0.0
 0.12102507303436548,7.711754176859903,6.478050639665675,-141.34826488493454,0.4841002921374618,3.999999999999993,-1.2614962001002112,-90.0,-35.05314068857605,-1.7804360965729736e-12
 0.12900674378489418,7.708624973993387,6.475572957163184,-141.6280475126827,0.5160269751395766,4.0,-1.044759515331249,-90.00000000000001,-30.942876057457834,1.786986921282341e-12
 0.13695915493349078,7.70529730781171,6.472961305345517,-141.87411798521168,0.547836619733963,4.0,-0.8754424732939055,-90.0,-27.524904837903307,0.0
 0.14488348617655458,7.701772976148701,6.470216920771554,-142.09223444858105,0.5795339447062182,4.0,-0.7412195317629023,-90.0,-24.652136818121516,0.0
 0.15278063707526107,7.698053776838193,6.467341040000174,-142.28691609300932,0.6111225483010442,4.0,-0.633421966114244,-90.0,-22.21450884384162,0.0
 0.16065130148662612,7.694141507714017,6.464334899590256,-142.4617590371825,0.6426052059465044,4.0,-0.5458317948299358,-90.0,-20.128359724248888,1.8115188451154854e-12
 0.16849601961005037,7.690037966610006,6.46119973610068,-142.6196603455061,0.6739840784402014,4.0,-0.4739097234870807,-89.99999999999999,-18.329192056369237,-1.8174318244487038e-12
 0.17631521509459774,7.685744951359988,6.4579367860903245,-142.76297988126868,0.7052608603783909,4.0,-0.41428903125217026,-90.0,-16.766643486940026,0.0
 0.18410922195787058,7.681264259797799,6.454547286118069,-142.89365921567995,0.7364368878314822,4.0,-0.3644366345426406,-90.0,-15.400930397709097,0.0
 0.19187830442081832,7.6765976897572665,6.451032472742793,-143.01331031394585,0.7675132176832732,4.0,-0.32242167730408094,-90.0,-14.200291832829517,0.0
 0.1996226717302608,7.671747039072225,6.447393582523375,-143.12328258980057,0.7984906869210432,4.000000000000014,-0.28675474644382387,-90.0,-13.1391252268942,-1.840827771127366e-12
 0.20734248937865435,7.666714105576505,6.443631852018696,-143.2247142406116,0.8293699575146174,4.0,-0.25627435361586526,-90.00000000000001,-12.196608020160715,1.8466691557522856e-12
 0.21503788769672116,7.661500687103938,6.439748517787634,-143.31857199745608,0.8601515507868847,4.0,-0.23006560642938007,-90.0,-11.355665993672691,1.852523141162645e-12
 0.22270896850507385,7.656108581488356,6.435744816389068,-143.4056822289262,0.8908358740202954,4.0,-0.2074011523674388,-89.99999999999999,-10.602192053187554,0.0
 0.2303558103143416,7.65053958656359,6.431621984381878,-143.4867555143884,0.9214232412573664,4.0,-0.18769775905183592,-89.99999999999999,-9.92444850918212,-3.728580515250077e-12
 0.23797847242775388,7.644795500163473,6.427381258324943,-143.56240623203584,0.9519138897110156,4.000000000000014,-0.17048402072145682,-90.00000000000001,-9.312605144375475,1.870212082101542e-12
 0.2455769982052333,7.638878120121833,6.423023874777141,-143.63316830228086,0.9823079928209333,4.0,-0.1553760848518314,-90.0,-8.758379001935541,0.0
 0.2531514176807671,7.632789244272505,6.4185510702973545,-143.69950793876723,1.0126056707230684,3.9999999999999853,-0.14205922165235643,-90.0,-8.254751061674915,0.0
 0.260701749676565,7.626530670449321,6.41396408144446,-143.76183404982555,1.0428069987062603,4.000000000000029,-0.1302737033077024,-90.0,-7.7957416622631746,0.0
 0.2682280035223652,7.62010419648611,6.409264144777337,-143.82050678049202,1.072912014089461,4.0,-0.11980388739750839,-90.0,-7.376231078855174,0.0
